"Date,Description,Amount,Category,Payment Method"
"2024-07-01,Whole Foods Market,78.90,Food,Debit Card"
"2024-07-03,Exxon Mobil Gas,52.30,Transportation,Credit Card"
"2024-07-05,Spotify Premium,12.99,Entertainment,Online Payment"
"2024-07-07,Cheesecake Factory,45.75,Dining Out,Credit Card"
"2024-07-10,AT&T Wireless,92.50,Utilities,Auto Pay"
"2024-07-12,Amazon Prime,14.99,Shopping,Online Payment"
"2024-07-15,CVS Pharmacy,28.40,Health,Debit Card"
"2024-07-18,Uber Ride,23.60,Transportation,Mobile Payment"
"2024-07-20,Home Depot,156.80,Home Improvement,Credit Card"
"2024-07-25,Gym Membership,29.99,Fitness,Auto Pay"
